time,pv,cv,sp,kp
913524,49.41,89.0,50.0,150.0
914047,49.68,48.38,50.0,150.0
914571,49.8,29.63,50.0,150.0
915094,49.93,10.88,50.0,150.0
915620,50.01,0.0,50.0,150.0
916142,50.06,0.0,50.0,150.0
916665,50.03,0.0,50.0,150.0
917188,49.93,10.1,50.0,150.0
917712,49.89,17.13,50.0,150.0
918235,49.76,35.88,50.0,150.0
918757,49.65,53.06,50.0,150.0
919281,49.53,71.03,50.0,150.0
919804,49.41,88.22,50.0,150.0
920327,49.31,100.0,50.0,150.0
920850,49.25,100.0,50.0,150.0
921373,49.15,100.0,50.0,150.0
921896,49.2,100.0,50.0,150.0
922419,49.41,89.0,50.0,150.0
922942,49.56,66.35,50.0,150.0
923467,49.82,27.28,50.0,150.0
923990,50.04,0.0,50.0,150.0
924513,50.07,0.0,50.0,150.0
925037,50.15,0.0,50.0,150.0
925560,50.1,0.0,50.0,150.0
926083,50.0,0.72,50.0,150.0
926605,49.86,20.25,50.0,150.0
927129,49.74,39.0,50.0,150.0
927652,49.68,47.6,50.0,150.0
928175,49.56,65.56,50.0,150.0
928698,49.47,79.63,50.0,150.0
929221,49.37,94.47,50.0,150.0
929744,49.26,100.0,50.0,150.0
930268,49.19,100.0,50.0,150.0
930791,49.13,100.0,50.0,150.0
931315,49.27,100.0,50.0,150.0
931840,49.54,69.47,50.0,150.0
932363,49.71,42.91,50.0,150.0
932886,49.97,3.85,50.0,150.0
933409,50.12,0.0,50.0,150.0
933932,50.16,0.0,50.0,150.0
934455,50.18,0.0,50.0,150.0
934978,50.1,0.0,50.0,150.0
935501,50.02,0.0,50.0,150.0
936025,49.88,18.69,50.0,150.0
936547,49.76,36.66,50.0,150.0
937071,49.65,53.06,50.0,150.0
937594,49.57,64.0,50.0,150.0
938117,49.47,78.85,50.0,150.0
938639,49.37,94.47,50.0,150.0
939163,49.26,100.0,50.0,150.0
939689,49.17,100.0,50.0,150.0
940212,49.17,100.0,50.0,150.0
940735,49.26,100.0,50.0,150.0
941258,49.43,85.88,50.0,150.0
941782,49.66,51.5,50.0,150.0
942305,49.94,9.31,50.0,150.0
942828,50.14,0.0,50.0,150.0
943351,50.23,0.0,50.0,150.0
943874,50.24,0.0,50.0,150.0
944397,50.2,0.0,50.0,150.0
944920,50.14,0.0,50.0,150.0
945443,49.99,1.5,50.0,150.0
945966,49.83,24.94,50.0,150.0
946489,49.73,39.78,50.0,150.0
947012,49.61,58.53,50.0,150.0
947535,49.56,65.56,50.0,150.0
948061,49.44,83.53,50.0,150.0
948584,49.35,97.6,50.0,150.0
949108,49.26,100.0,50.0,150.0
949631,49.17,100.0,50.0,150.0
950154,49.21,100.0,50.0,150.0
950677,49.32,100.0,50.0,150.0
951200,49.5,74.94,50.0,150.0
951723,49.73,40.56,50.0,150.0
952246,49.98,2.28,50.0,150.0
952769,50.14,0.0,50.0,150.0
953292,50.17,0.0,50.0,150.0
953815,50.14,0.0,50.0,150.0
954338,50.08,0.0,50.0,150.0
954861,49.97,3.85,50.0,150.0
955384,49.84,24.16,50.0,150.0
955907,49.75,38.22,50.0,150.0
956433,49.6,60.1,50.0,150.0
956956,49.56,66.35,50.0,150.0
957479,49.45,81.97,50.0,150.0
958002,49.34,99.16,50.0,150.0
958524,49.27,100.0,50.0,150.0
959048,49.19,100.0,50.0,150.0
959571,49.2,100.0,50.0,150.0
960094,49.33,99.94,50.0,150.0
960617,49.48,77.28,50.0,150.0
961139,49.78,32.75,50.0,150.0
961663,49.96,5.41,50.0,150.0
962185,50.12,0.0,50.0,150.0
962708,50.15,0.0,50.0,150.0
963231,50.11,0.0,50.0,150.0
963754,50.11,0.0,50.0,150.0
964284,50.03,0.0,50.0,150.0
964806,49.94,9.31,50.0,150.0
965329,49.79,31.19,50.0,150.0
